"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1744782751.422,0.028752311461447966,2.517510391949099,0.8803754655538091,0.8723121208021938,1.6046677437664163,6.5595673235433924,3.7389110896595157,1.2140651373919897,3.2681582593865173,0.24604234164656724,-7.0,48.0,-2.0,16.2353515625,36.4990234375,86.66991424560547,-1.6268310546875,-0.2294921875,0.1881103515625
1744782751.432,0,0,0,0.3257852291654474,0,6.599464447030302,3.350052476114302,0.7689009925862345,2.629129865547461,0,-7.0,48.0,-2.0,18.310546875,35.64453125,93.68895721435548,-1.736328125,-0.2830810546875,0.1134033203125
1744782751.452,0,0.6022730998098075,0.01972775118241549,0.19914244220434058,0,5.092814796853294,2.4202605701801634,0.04967302014844231,1.3595441801684087,0.03639811318316684,-18.0,41.0,-8.0,-17.51708984375,-21.850584030151367,127.07518768310548,-2.008544921875,-0.3477783203125,0.0439453125
1744782751.463,0.013741480881434696,0.45002882338573214,0,0.2080772885545684,0,3.2662145903831723,1.7099539709044993,0,0.9599750856442654,0,-18.0,41.0,-8.0,-17.51708984375,-21.850584030151367,127.07518768310548,-2.1610107421875,-0.4708251953125,0.104736328125
1744782751.472,0,0.10635626573724691,0,0.10607666239100406,0.4527249610814402,1.3560983757001297,1.116910859495015,0,0.8733760754113127,0,-18.0,41.0,-8.0,-74.0966796875,-19.95849609375,101.37938690185548,-2.03955078125,-0.473388671875,0.1817626953125
1744782751.483,0,0.016130024492282097,0,0.06587776994124252,0,0.28396820823844504,0.4259499138463563,0,0.5167090628358278,0,-18.0,41.0,-8.0,-74.0966796875,-19.95849609375,101.37938690185548,-1.70361328125,-0.109375,0.246337890625
1744782751.492,0,0,0,0.01620409741526522,0.13072747697912337,0.1494391627495757,0.12345045571037766,0,0.4762024767093041,0,-18.0,41.0,-8.0,-88.62303924560547,11.596678733825684,102.78319549560548,-1.34521484375,0.529296875,0.345703125
1744782751.502,0,0,0,0,0,0.3816881877825534,0.11239951596861396,0,0.6506621251221556,0,-18.0,41.0,-8.0,-98.20555877685548,35.5224609375,101.19628143310548,-1.0933837890625,1.080322265625,0.3861083984375
1744782751.512,0,0,0,0.042570029985565735,0.1740603613179947,0.1299185309110694,0.09941459159371967,0,0.6090928837266637,0,-18.0,41.0,-8.0,-106.93358612060548,45.471187591552734,90.39305877685548,-0.943359375,1.38623046875,0.3067626953125
1744782751.522,0,0,0,0.03966479892424371,0.5641183658093728,0.14278953302732666,0.13213079788504778,0,0.5268910084953743,0,-18.0,41.0,-8.0,-102.47801971435548,57.006832122802734,91.79686737060548,-0.637451171875,1.6593017578125,0.34912109375
1744782751.532,0,0,0,0.04773912613938304,0.7845440866429527,0.1494391627495757,0.13509960785003153,0,0.5370943969321637,0,-18.0,41.0,-8.0,-86.79198455810547,64.75830078125,105.71288299560548,-0.0814208984375,1.9029541015625,0.52392578125
1744782751.552,0,0,0,0.042570029985565735,0.6273251854218143,0.18481362842792842,0.10449897420119007,0,0.5575642343301956,0,-26.0,40.0,-10.0,-48.645015716552734,-8.1787109375,77.57568359375,-0.80908203125,0.6058349609375,0.2244873046875
1744782751.563,0,0,0,0,0,0.08420604525949725,0.10449897420119007,0,0.30854860019919206,0,-26.0,40.0,-10.0,3.967284917831421,-50.903316497802734,69.76318359375,-0.8851318359375,0.380615234375,0.3226318359375
1744782751.574,0,0,0,0.05104359197808121,0.5099255891388513,0.0791488572617095,0.17718582620474121,0,0.38646225985904464,0,-26.0,40.0,-10.0,13.366698265075684,-15.319823265075684,77.45361328125,-0.5185546875,0.4339599609375,0.28369140625
1744782751.584,0,0,0,0.05450544318556123,0.7349568954381976,0.17024001816455747,0.1668915211151976,0,0.5575642343301956,0,-26.0,40.0,-10.0,20.507810592651367,10.253905296325684,80.078125,-0.1510009765625,0.4908447265625,0.1817626953125
1744782751.592,0,0,0,0.06453875875530098,0.8806400901579936,0.16316477201554147,0.15694894729441247,0,0.6194570988675262,0,-26.0,40.0,-10.0,20.507810592651367,10.253905296325684,80.078125,-0.1510009765625,0.4908447265625,0.1817626953125
1744782751.602,0,0,0,0.06587776994124252,0.4361867916020009,0.1494391627495757,0.13810630543022406,0,0.547318908691757,0,-26.0,40.0,-10.0,30.761716842651367,3.906249761581421,74.89013671875,-0.1103515625,0.3443603515625,0.146728515625
1744782751.612,0,0,0,0.058128911199222165,0.2352684329018018,0.16316477201554147,0.13213079788504778,0,0.5575642343301956,0,-26.0,40.0,-10.0,43.945308685302734,-17.15087890625,57.128902435302734,-0.1103515625,0.3443603515625,0.146728515625
1744782751.622,0,0,0,0.058128911199222165,0.23119130938371277,0.1494391627495757,0.1291997521260271,0,0.5370943969321637,0,-26.0,40.0,-10.0,43.945308685302734,-17.15087890625,57.128902435302734,-0.1104736328125,0.3760986328125,0.1124267578125
1744782751.632,0,0,0,0.061918256837723784,0.4924313282413502,0.1494391627495757,0.13810630543022406,0,0.5370943969321637,0,-26.0,40.0,-10.0,46.142574310302734,-10.925292015075684,50.903316497802734,-0.0245361328125,0.4410400390625,0.026123046875
1744782751.652,0,0,0,0.05104359197808121,0.2604297922769378,0.15623103289109427,0.14423385327900945,0,0.5370943969321637,0,-26.0,35.0,-8.0,51.940914154052734,-9.6435546875,39.61181640625,0.0523681640625,0.3173828125,-0.07373046875
1744782751.662,0,0,0,0.052179846766082116,0.2352684329018018,0.16316477201554147,0.1505144136909441,0,0.5884221405111657,0,-26.0,35.0,-8.0,50.964351654052734,-11.840819358825684,31.677244186401367,0.0230712890625,0.15380859375,-0.1090087890625
1744782751.674,0,0,0,0.05104359197808121,0.30501076411466516,0.13628252512166716,0.14115101327368054,0,0.5167090628358278,0,-26.0,35.0,-8.0,36.7431640625,-7.507323741912842,14.160155296325684,0.0333251953125,0.144287109375,-0.118896484375
1744782751.684,0,0,0,0.052179846766082116,0.5099255891388513,0.14278953302732666,0.15371237424925666,0,0.5370943969321637,0,-26.0,35.0,-8.0,36.7431640625,-7.507323741912842,14.160155296325684,0.0419921875,0.1513671875,-0.117919921875
1744782751.692,0,0,0,0.06587776994124252,0,0.1299185309110694,0.14115101327368054,0,0.5065488899234457,0,-26.0,35.0,-8.0,27.465818405151367,-5.126952648162842,6.774901866912842,0.0419921875,0.1513671875,-0.117919921875
1744782751.702,0,0,0,0.06861411425348814,0,0.11762120690751217,0.1635384034316961,0,0.5167090628358278,0,-26.0,35.0,-8.0,19.04296875,-4.5166015625,-0.30517578125,-0.0001220703125,0.1641845703125,-0.1168212890625
1744782751.712,0,0,0,0.0714292938755357,0,0.1299185309110694,0.17718582620474121,0,0.5370943969321637,0,-26.0,35.0,-8.0,12.756346702575684,-3.479003667831421,-8.85009765625,-0.0333251953125,0.062255859375,-0.1134033203125
1744782751.722,0,0.016130024492282097,0,0.07286685050028692,0.1776328232091113,0.1299185309110694,0.17718582620474121,0,0.5370943969321637,0,-26.0,35.0,-8.0,0.2441406100988388,1.2817381620407104,-26.733396530151367,-0.0333251953125,0.062255859375,-0.1134033203125
1744782751.732,0,0,0,0.07286685050028692,0.42532146569624446,0.11168871856051947,0.18069596189391676,0,0.5167090628358278,0,-26.0,35.0,-8.0,0.2441406100988388,1.2817381620407104,-26.733396530151367,-0.029052734375,0.0006103515625,-0.12890625
1744782751.742,0,0,0,0.0758027075406598,0,0.11168871856051947,0.15694894729441247,0,0.5167090628358278,0,-26.0,35.0,-8.0,-10.437010765075684,2.13623046875,-32.89794921875,-0.114013671875,0.2384033203125,-0.0902099609375
1744782751.752,0,0,0,0.0714292938755357,0,0.13628252512166716,0.14115101327368054,0,0.5370943969321637,0,-27.0,40.0,-10.0,-28.625486373901367,3.295898199081421,-43.518062591552734,-0.114013671875,0.2384033203125,-0.0902099609375
1744782751.762,0,0,0,0.07286685050028692,0,0.1299185309110694,0.13810630543022406,0,0.5370943969321637,0,-27.0,40.0,-10.0,-29.418943405151367,2.563476324081421,-52.307125091552734,-0.160400390625,0.383544921875,-0.0477294921875
1744782751.773,0,0,0,0.0758027075406598,0.057438245197243346,0.11762120690751217,0.15371237424925666,0,0.5370943969321637,0,-27.0,40.0,-10.0,-29.418943405151367,2.563476324081421,-52.307125091552734,-0.2855224609375,0.4791259765625,0.0703125
