Method: 500-1kg_1002
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P21,30.744955714011947,19.528908908907095,14.235965344836659,12.412259456730347,9.705501941209853,6.190911100898145,3.1627649644815925,0.7152588935351324,2.570560095132237,4.838189983906271,5.7343139669368055,6.352294274514134,6.64845495207948,6.644071852108512,6.297647018629514,5.8018519445701004,5.309322193405775,4.816620780459519,3.9644552424068524,8.193384664671576
P22,65.0555491217628,62.56335305386942,43.01585680190739,25.07686811602529,10.874866271429472,0.25264226324686184,1.7582075422930978,2.5072212784418335,3.0211422844675213,3.1300123075333253,2.9719876943943975,3.059605117067945,3.4484895016292394,3.5068248981261805,3.785346638700118,3.1099111943343267,2.0564619241162485,1.302875527045016,1.0575529530469172,12.7134091836546
P23,63.7448123356717,38.44031953685044,31.11173138506302,23.001255483224952,17.365177039151924,10.889744719124478,6.584872343008129,3.7390522368106973,1.3490618711180622,0.7936000419528355,3.438072474080187,4.009799239560833,4.160014204861327,3.9500723291905397,3.7466815748879094,3.140750117454141,2.2685157839213663,1.2837542265559516,0.023791789778052474,11.739004143803502
P24,57.429057448953856,58.23789887204038,45.30674163610866,29.422657017726248,15.968735377573275,9.155338678110219,3.2514213545414012,1.1055229586440871,1.0608366889641616,1.2535677032256316,1.1841857231828423,1.949803870873058,1.6089255136014786,1.6927958936389802,1.8377016251397735,1.9176274522171053,1.8758147705590333,1.78853510482384,1.9876957839506137,12.528150709151298
P25,98.77462123885816,91.28498508501393,61.25458191202849,35.53338528538154,22.163374844331,12.01005788483868,4.356342878311596,0.23967676362761994,2.9686833653932245,4.377464652022362,5.068375286823749,5.965304317881996,6.7807326651362825,7.408722139787906,7.711691434606808,7.695552787713674,7.359670408415599,6.898360720775199,6.306847359813359,20.745180580566373
P26,60.69684682532961,24.270752958574818,17.506421652027996,15.877065681167615,12.808563541181838,10.080362388462307,8.12162533160255,8.463835990913497,4.757036565397977,0.963698182541596,1.3028147338077873,1.213797023661607,0.23415134128409135,2.17313844876822,3.8876698874945697,5.614122261939723,7.123986906032527,8.546238077337646,9.555438174662065,10.694608735378317
P27,98.17526995206202,84.49601620198703,62.39245376024062,37.285065680697016,21.77781148316799,11.76954577352092,5.219809252102539,0.572124573249502,2.0607764880109274,3.2014596212029436,3.646693994660343,3.890037612311897,4.697344453382978,5.391505395383876,5.463298298265223,5.3129312975243765,5.205814439515898,5.114062075891697,4.723187492441669,19.494484623453662
P28,64.59175186383214,56.414554562076354,46.25134534783317,28.46839106093516,13.503456105285007,6.755997036086375,2.068712196572397,1.2998800501516077,3.962967823477232,6.364133821241761,7.2876529655398725,7.246720474413496,6.991441462381067,6.1953399571111785,4.971724864479287,3.7687399405345348,2.572159631433609,1.2791070585526514,0.08963947441222407,14.21493240507101
P29,98.31197077221196,62.760287997506126,42.81560816955965,32.0648960589282,27.229112668675132,22.170055480299904,17.377163680435526,12.756767480116443,8.514166078633977,5.331088430102914,2.507475807044539,0.8046441257249529,0.20823280869783856,0.3731539554931957,0.5166167699359491,0.16654175568896487,0.3042547490020539,0.398376847247678,0.8562622393063113,17.65614083550586
P30,63.83380426421044,62.7502537895291,61.52042543554095,48.411679915743264,34.87375546625101,27.99507633732483,24.11792224042616,19.013802563601242,14.761741887170801,11.69267149686117,9.741645208530151,9.009031573048269,9.074742607034409,9.278675653189751,9.47751178424985,9.490338999534837,8.996548022212144,9.170253706460382,9.594855194981594,23.83182821820528
