Method: 200g-500g
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,Avg Err
P10,8.737592675160334,14.839618904395504,22.199847862519842,24.02922122511345,21.894609059659224,20.068053185018442,18.07806836165813,15.912789923195346,14.202039522361778,13.2217932951328,12.178642286642315,11.251738525795254,10.716310157901498,10.379477289426731,9.725685808773944,8.868204092776082,7.873103910640842,14.363340946245383
P11,21.614687047672447,28.086865794711056,33.05030497203397,35.7065759243324,37.167914853524195,37.7484084631776,38.02800935999604,38.53537223142129,39.4669044001433,39.60965500290232,39.08778575644598,38.19263953537847,37.15935512022132,36.22841646593667,35.15989733228083,34.03829457613563,32.973588629569576,35.40321620387547
P12,43.98320021983502,45.77840830391816,52.955511476123164,57.26844049039365,58.552891330155234,57.79382155622747,56.604615020329405,55.00111866737874,53.866657119628236,55.44029646890284,57.098560134866894,57.98743683226145,58.172667588083726,57.575944381844096,57.42660208683137,57.28484283079077,57.40283710130186,55.30552068287483
P13,12.977944832784072,25.17383052752582,34.907825805785684,39.95480324308431,40.60307821097156,41.28772501893419,42.791190283794286,43.97272721591699,44.03956407638739,43.960773013972414,43.48160800272778,42.41200334197967,41.520038470879996,40.34354630525359,39.15484070235059,38.16148200898561,37.07534557134489,38.34225450780463
P14,50.523256472108365,44.66154717606303,66.15155862590004,82.88169797040266,85.59574708513364,85.18831795156251,85.8005579255679,87.62256126776884,85.74750602543935,82.56938054084043,79.3440845956233,77.08008425648615,74.97984719702158,72.1568511955528,69.21936157058654,66.51357518562818,63.921328417148814,74.1151331446373
P15,26.000435418576224,35.70885080524328,40.52171067094058,42.905569982480856,44.05466096025083,44.91818230655104,45.29895673207493,45.16869250582493,44.59957626447222,43.86319073445659,43.27342668484241,42.59438000710957,42.088147468571066,42.00531567255242,41.50727149670972,40.96684756104198,40.26102010878033,41.51389619885171
P16,5.256306429166618,3.1575091565711455,7.176794175728655,9.857788044201813,9.922467889972019,11.819546999335008,13.462643058958129,14.902031835632217,15.478491318058163,15.936371983702328,15.853754957806647,15.88011567259616,16.112308650255056,15.712489438166877,15.246035046855223,14.536472649448584,13.80485140753624,12.595057571411228
P17,23.579657894350554,41.69641199842735,48.802684499862096,49.437026894321896,47.99871040475412,46.79444769850336,44.389756875959556,41.14733163243147,36.42835243850075,32.436170349326694,29.34191492198978,26.592105871607355,23.58417200315547,20.47691811225249,17.365438495797843,14.026323285101906,10.985230117637283,32.65192079376352
P18,40.281820537233315,15.49770146370657,0.24523033651390214,10.28087788174032,17.466478637992285,22.98765355900812,27.127014628015115,29.944668828507538,31.309810360415955,32.07225010437372,32.46148016153351,33.38942679473583,34.006792432039695,34.30287794513839,34.71230961291849,35.16071035670973,35.718398243621856,27.46855893436496
P19,45.53923829772566,13.262488161949031,3.8052771703470807,13.7047939827964,21.674302394477984,27.178908692343008,31.85266276951363,39.24600892609912,42.57443612040346,44.086688918481755,45.78130289954616,47.595416308834736,49.09787315720755,49.76593530517623,50.013949149886024,50.000960162431134,49.62742145923299,36.75339199273247
P20,17.408974110421433,1.121037491975273,43.53631778089907,61.91564196954421,63.92394474202294,60.450733690620986,59.885549034524246,60.87322810011808,58.17058082109607,56.77548421336326,57.27380443991323,57.79157794644948,57.875400483360735,58.622460136128716,62.42383676025623,63.2494746782402,63.22019983613662,53.20695566088652
P21,36.76831355141739,24.573175342299173,18.775762339329887,14.710405854379003,11.093198747255757,6.573523365208039,4.059044559041485,1.1843010423009406,2.2432946210283444,3.957055226188923,5.72373525237516,7.201463748375249,8.25279172026458,8.990619362496213,9.813956385595684,10.659681441823935,11.000701123469097,10.916530804873464
P22,23.031823866163165,50.851840478911285,71.97022575715837,79.38284143871638,73.29795279587199,63.677065851766656,55.22935071111287,48.031705673630384,43.41583031494051,39.72965088450488,36.74186615875386,35.049308470555296,33.872751995087405,31.364044775863597,27.718754376867388,24.649370472407643,22.025790828837973,44.708245579479396
P23,51.0836589846545,9.531226635695852,25.56389941316972,35.07684594858789,40.12333374171674,43.95726769184365,44.48705003371923,43.920895316121026,46.165973115922924,52.30433506700065,56.896702335229705,63.21741092543663,69.15793777771695,73.42684114479981,76.07096803511223,77.99452489958426,78.63459714844392,52.212556953809155
P24,18.82254306409985,1.6443569123703103,11.217527772070897,21.474425743685348,27.113456989927244,29.746972751875692,30.034429665351073,28.39085832286152,27.09766436302592,26.332436915858246,25.034050779277113,23.498701288807972,21.68034208755647,20.239685239739398,19.448588321191284,18.504563497403755,17.51993192846959,21.635325626092452
P25,9.3123900441573,36.512845422331665,47.57748857304195,44.82624124856872,34.98560275075866,26.403790005921163,20.662727559623974,16.87388071433748,15.667747663602738,16.734360252095282,20.589460119714726,22.501013192007935,23.451748123961384,24.680341073499257,25.508630332634105,24.46813993484893,21.910205052126383,25.450977180190097
P26,64.85269690524542,73.88543335221064,76.75833595962871,76.80670965692136,78.13108380632585,78.58013641689394,77.7043701591771,78.91114293732694,79.80770175331283,80.55742627326296,80.34738087175604,80.50811342491869,80.26521374995629,81.37680248300842,82.04987808639548,82.48814681651967,82.78872291943385,78.57760562189966
P27,28.709521859565033,25.548446003288596,22.221314844195405,19.647016943628987,15.045226901879648,10.051733467868441,6.891774303614375,3.411738364302236,0.6745844934954801,0.5571501703958982,1.3914263550333108,1.6833528626339846,1.8100336159509176,1.7237935232090245,2.292821172986687,3.3206909351142873,3.831007558807873,8.75362549270413
P28,39.270720685128175,27.96114870551011,16.42136008198629,4.796368351907981,6.02820940739422,14.061891192948115,19.440216980683847,23.40904075506786,26.787166013081272,29.509539565494883,32.37138432085998,34.45654536244187,36.30450965458073,37.41561855504938,38.787394838074775,40.45547523062172,42.031522091675775,27.618124223088643
P29,300.980685351004,209.80427836681943,215.48521715061042,218.41713100066207,196.32679992708555,179.27500653482906,173.10541520267978,165.17166820152343,163.4177619925512,159.45454736821355,152.1928489273878,144.2361810654379,135.5224142187387,126.77134565935242,117.36487893221937,109.17099275381793,102.41697935494965,168.77142070634602
P30,24.06243045602616,18.329577652894212,14.268361659619696,12.263699269199245,11.92223884421041,8.59605983820331,3.568150874361221,3.048667889418538,6.926745289257898,10.569949079217235,15.15662967677656,20.042575361464092,24.779833452721366,29.91997257263935,33.97406995590427,36.455101742165,38.50467645434849,18.37580823931924
P31,0.984187408901817,11.52622972597025,18.718296557736572,22.395501091525848,24.386694288325245,26.479418207206415,27.41926075776506,28.213172223745616,28.220838532496103,27.788912398818255,27.327287551192665,27.85864571319708,28.087337085133374,27.38642508254625,28.2394465895856,27.375471140699528,25.793096927587822,24.011777722496088
P32,115.26570652059881,112.57729815339724,108.83686504421948,107.57900721064966,101.40925038482092,94.18862362404768,86.72466930759303,77.3874768326912,68.2028124939654,59.96355208660312,52.369228113447846,45.200850026844556,38.505125485817544,32.31692432054332,26.783740994094995,21.907590561432457,17.16402723914291,68.61074990587707
P33,41.055793549205646,62.74749022248057,80.07732072830281,90.45517418303882,94.80117517228666,97.10179081085357,99.29658562630998,99.69347993605207,99.71583085988163,98.16684720682547,97.49724184328805,96.69427952282786,94.9615322835085,92.59912657223234,90.54672985441917,88.81213021950063,86.99130735181245,88.89493152604861
P34,68.45971875166612,66.0038007820908,64.7156370712701,64.59763503060715,63.74656273153502,61.12925440046775,57.522470717832185,50.16469792949881,45.48030218317955,43.93541756339531,43.602703993762454,43.32019270212575,42.8530359814512,42.618192856343065,42.611180781992786,42.500786549378304,43.184217939852545,52.14387105684994
P35,8.817762307245847,4.655455366440171,0.8956163891425558,0.6396302194708913,0.5287917979028828,3.25625358197473,8.493605247798829,10.253463094074906,11.951487375132542,12.388192397827618,11.442166558909168,9.973826261495985,8.476841927569156,7.115613721854524,5.693341893804529,4.086537339700863,2.2685605926114008,6.5257144748798

Method: 500g-1kg
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,Avg Err
P1,56.50695301852713,65.43319545261461,69.78042005188308,69.6684069372782,67.70356107821397,65.85900072808225,63.099780731771034,61.15507957944471,59.23913196620669,58.19349587792021,57.36467756445244,55.382756133658454,53.51573983621962,51.624260803496924,49.7170329060194,47.64574906214258,45.46411048112267,58.66784424759141
P2,49.38879123519859,38.168348220932934,27.571993277943506,16.527541043280742,5.14033698284543,2.071944590498085,6.135051493801272,8.590285184181788,9.949796940613062,11.202022639706062,12.112017277108217,12.677504837462633,13.12575120709813,13.3480532388997,13.382581804795338,13.266807745845677,12.978790364270159,15.625742240263605
P3,31.764304207532227,9.318267999372406,3.5081995738742218,10.488907863117722,15.937674965243373,19.308918654551057,22.004013209118813,23.29534741212242,24.068387493158404,24.41157791195836,24.949118714605195,25.630954113394473,25.943658164261407,25.79287410378695,25.336712676805348,24.850496193475017,24.0391265708916,21.214619989839353
P4,8.642485706084178,1.1428841878212552,3.497862644913022,6.981333243781287,9.894582465372673,12.478241436953121,14.947597363778737,17.731905750365183,18.82987087096564,19.107911684996267,19.24795488858002,19.53264780523919,19.566870908073547,18.95794703866528,17.947717627973603,17.162538569180715,16.294993436118233,14.233255625227175
P5,22.688228880703612,29.75072723640331,31.92651891039717,32.61608705136842,32.39099140594544,32.540045473940545,31.827610592016423,30.80250141518871,30.171267386310898,29.58671217213094,28.765184066060215,27.626965125536223,26.523837353292247,25.250163833690383,23.897407345575047,22.566861028533054,21.268982497368132,28.247064222027106
P6,36.782751138298366,6.515345500176737,5.241736731414178,17.1975407051376,22.06741617987515,26.714950376492684,27.81274959958466,27.376173617992674,26.38097408503333,25.45304279141274,24.291742019122417,22.9553413452901,21.595103903060856,20.303725654631364,18.723870347894298,16.821100663438887,15.058136384455073,21.25245300254771
P7,0.05292243021902985,5.790387588455977,6.744522966520725,7.805399404818667,10.13126432133585,12.65664404174437,12.173605162163023,11.937236129379198,12.15725262724572,11.69752424833793,10.865501295568805,10.491422574327562,10.008829481739381,9.755624957669296,9.492537217014064,8.842597537311793,8.137708572314613,9.337704738598001
P8,78.0106025809176,53.31653419703326,26.627622695096413,10.641716381139593,2.8484261209587793,1.7831591676653722,1.4721124160530938,1.02484361621616,0.6162842295735448,3.161275083717214,4.992816056600886,6.12224216490489,6.8515801887065315,7.247230685613826,7.030592345082144,6.322116482142634,5.176108832061202,13.132074308440185
P9,38.1480235452795,23.575236933939642,14.54343920536578,7.971251069254997,3.8455290818814207,1.9703089202984778,0.533999724979692,2.833761735761282,4.227831235521763,5.177289834608334,5.9587101776773705,6.652775050129841,7.13775899349438,7.417140074279795,7.49768487399892,7.26115947392384,6.71200016298396,8.90964118196347
P10,19.073321248617685,9.94326055896378,0.5488297699430394,3.8873875737943173,4.52885773712073,5.030167046095856,5.083783700770919,4.735892523447136,4.601978207218941,4.986860293722619,5.193550685831405,5.406987594337178,5.907183916185728,6.528753208192796,6.7829698288318285,6.780190135138333,6.587084602181033,6.212179919434901
P11,1.444174962053561,7.737164900316851,14.906828027200937,19.62636765209712,22.955276674162928,25.23529631775443,27.037189486270734,28.890225431185996,31.01797272736782,32.30458579474286,32.86705790496638,32.985502589519214,32.892136323205754,32.82875280638817,32.56998165359394,32.20356227914935,31.843397926223368,25.843851379776435
P12,21.47912712203557,26.75076989031931,35.86078351527955,42.0241381286589,45.13451691664889,46.1014735530149,46.44437138600686,46.21736039468381,46.28649835142113,48.83156646593065,51.39373164131651,53.15737160132203,54.18253596817271,54.38930274397349,54.98347463501319,55.54211115047403,56.32045361776739,46.182328651884646
P13,19.137200810639783,4.9431945817076,6.84435811192975,14.5127934443726,18.147313646314082,21.425438715775105,25.133967718100575,28.358261266622105,30.40893545754282,32.164338603951435,33.408840064591125,33.9711459602982,34.58062390229723,34.81324713445235,34.93713046321201,35.16521657707825,35.22665144497581,26.069332817874166
P14,35.003629934589064,27.521582944665436,7.493291943126654,10.503120083959445,19.89661547697689,26.59043786892626,33.382585032936575,40.63520824435095,44.71401607466595,47.29691153763978,49.38578366730915,51.893325468521,54.22637733678389,55.62594881502135,56.633797750786925,57.59393846957788,58.42648064907759,39.81312066464204
