Method: FUJI Film
Sensor,1.0N,2.0N,3.0N,4.0N,5.0N,6.0N,7.0N,8.0N,9.0N,10.0N,Std Dev
P9,6.257386664407681,11.557502703451084,11.440899703315237,11.090780673988029,10.643730306005027,10.742328080812388,10.328554794313016,9.183331585062492,8.272468032080251,7.689895054618156,1.7023541701908529
P10,24.054260179059604,19.78235392620262,13.401397419656183,8.20445522000948,3.079545083112359,1.4333694906838852,5.133363088638034,8.336549155271003,10.491661786337797,11.819881432143667,6.752805425711293
P11,91.81575513148812,49.7857107314825,29.900271960203582,17.36444985532122,8.427843386018601,0.5648429540091393,5.382462230032067,9.590968962704247,12.451722866265484,14.26049150326094,26.299914023839456
P12,40.001389904290996,28.618578295656462,18.247889153666748,12.32441807889735,4.029682774510742,1.2234875016595108,5.503946436102222,9.000568122056283,11.53977894306987,13.340952056746527,11.29367345074114
P13,14.831752394558096,19.155628243205555,17.770140675135135,16.302382264438855,13.9339104977865,11.71724376347694,9.91424055905646,8.272353123932676,7.213574050199212,6.620216022823373,4.262153974915753
P14,42.74111723184066,41.939899812979164,32.586400285630255,25.303567119203667,17.993845514559485,11.97041196121033,7.003197911579359,4.149549145369275,2.6592605662570326,2.3068727803717324,15.081745955667907
P15,49.75544575021709,30.332262808727577,20.617793085058448,14.95859090107054,9.170385811501891,4.536147655695933,1.5665270101626034,1.7282710330922952,4.424213585275536,6.35917405783044,14.686298118446343
P16,22.015684030666996,15.87419888453805,11.292127921432678,7.374001544547508,4.476667979653758,1.392771736274682,1.0658476187748807,2.9888802206138814,4.363413413880083,5.307378933205373,6.464742690575976
P17,1.6206783108275813,7.461027756974237,9.035989569397593,11.203615410258385,13.512794686383298,13.639789040940673,14.140141274587194,15.214503327264973,17.1632390271021,19.94409808680782,4.965366660811164
P18,2.4480703914113864,5.074681419853549,5.913380305155648,4.593424588679972,3.619175754802081,2.7623007579985526,2.011148033911384,1.7661529153715232,2.1843131115727474,3.180913930824151,1.3420543065152721
P19,56.20727543415045,36.99386211266474,22.384786264574235,13.434876884129679,6.208393187412315,0.21988611370573583,5.108985293023534,8.288579166792687,10.389133255556636,11.634081373761191,16.329139765335484
P20,22.12537725874714,15.914636587538851,9.398011055416577,3.9180679767551547,0.009346190056015079,3.45963348767215,7.775877396299557,10.470360650575703,12.071395971157946,12.782053696155193,6.154001524716052
P21,20.787275350649892,11.426205070162782,6.690617729841047,4.392097708418772,4.18688974333597,3.6230409632260243,3.6231326914948507,3.959066586398396,3.9518165282197244,3.6611349370145736,5.2499186907845985
P22,12.442884093248814,1.0257305170518005,4.047474361187335,4.087857247659351,2.9480577250092312,1.0298562986156108,0.06934860433166277,0.4837280160810789,0.24501548972115092,0.5577139463549252,3.560447366170761
P23,1.5252881436664565,10.030446663037074,12.238568773658706,14.194346993648004,14.943013581560576,15.881290793509832,16.333461425259333,16.726022828783986,17.6965957167874,19.25593245618492,4.826722991577359
P24,5.904237709705308,6.725409889197865,13.786986381804116,16.538674717622467,18.245525350201508,19.419907991665507,20.446282926617286,22.125406065244153,24.554911415080614,27.705863591455618,6.734180112109285
P25,9.4655017674348,11.689699023410611,8.524228671277942,7.227517605965919,4.903326032379577,2.4387063228429584,0.045719849736366405,2.170033559994589,3.838655502946175,4.988021240641726,3.460447044637299

