Method: 500-1kg 1 time
Sensor,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P28,44.989630693464676,36.09036566588659,29.71815422945799,23.93160008805389,18.37835680541462,13.239945573844254,9.332554594615708,6.779733443462901,4.895927274241139,3.0821500787152276,1.3319580004946843,0.038765633427173006,0.9867567948530349,1.76633596662644,2.3986836997938163,3.035016307656625,3.6950503913355406,11.98182266125555
P29,53.93565964464558,32.34327463873846,20.610609116147675,12.708301013933758,9.95110671418497,8.181350183035258,6.950869156116372,6.379068527740103,6.892991128397421,6.419662376189682,4.876477766096156,3.1526024633724896,2.4217016669416527,2.186493122349404,1.6039255276082218,1.234398991047431,0.8775876799235551,10.6309458656746
P30,54.16067944546128,39.26318171657654,28.512058530272718,18.20992564090822,10.673660756191559,5.328700764502915,2.52451053438541,0.5881106200613102,1.4408631652309283,2.468450227473487,2.9912133284857894,3.472850220989126,3.6170455910351937,3.3677691588884433,2.6440719496377367,1.8585234772127373,1.1496341196972504,10.721838191000627
P31,44.575698794512675,33.85547965624274,25.461626149736254,20.991700284606203,18.122868320217954,15.916974428439875,13.045380398798205,11.528946117924457,10.718331698792248,9.93575509051808,9.358097521182296,9.117258428271152,8.739561825132553,8.397445532101585,8.303906238169228,8.309843997060026,8.384769755316071,15.57433201394245
P32,43.59791875129732,33.335131363352126,24.42426142520265,18.391624916253036,13.517051046597091,9.198270179044641,6.475943102106846,4.75531323915131,3.5259137452929163,2.786474633029147,2.046881524691363,1.306474675673681,0.9196063534180651,0.22910443958024274,0.5235037860608039,1.0196647453755772,1.453892479588992,9.85335472974799
P33,62.56766993547074,62.19197307782002,54.799574095566456,37.94955065433699,27.20907322246961,17.393620693419674,11.839987637255508,8.011855986108323,5.366364948724203,3.105028305233247,1.9125235431770449,1.3432291373592946,1.1819979576536714,1.2127584646731535,1.3168024788321706,1.3076788299143205,1.2959497223925949,17.647390511200417
P34,42.119146158114916,28.609323918198868,18.39234963462309,12.699657051744827,8.607909252595507,3.864116933446053,0.556888836409565,0.5325771199354354,2.988204513139018,6.65975451239092,8.851282534597095,9.92211728737404,11.33606625776603,13.293105578501846,13.39719995715622,12.74413128721739,12.175082475528535,12.16170078286702
P35,20.427505755057773,15.58033029245627,9.870524817148814,4.456896054109897,0.07487733360621555,1.9899894197962118,2.637738343116142,2.964344809814628,3.011527119463392,3.463235875094845,4.346709821654411,5.577195273391025,6.541910125554765,6.874880155836213,6.963581228885672,7.038843790481304,7.182202527609422,6.411899573122177

Method: 500-1kg 3 times
